,ID,gene_assignment,logFC,AveExpr,t,P.Value,adj.P.Val,B
2046,7985493, TM6SF1 ,-0.064878041,2.253941759,-1.346335196,0.186234046,0.999925768,-4.810757148
2047,7895898,,-0.060461366,2.900855191,-1.346039721,0.186328459,0.999925768,-4.811091661
2048,7896421,,0.145459311,2.532638074,1.34572841,0.186427972,0.999925768,-4.81144403
2049,8009382, BPTF ,0.047355176,2.304349998,1.34490629,0.186690966,0.999925768,-4.812374228
2050,7921360, OR6Y1 ,-0.061628117,2.226529013,-1.344806612,0.186722872,0.999925768,-4.812486976
2051,8077944, CAND2 ,-0.04765349,2.441137733,-1.344784021,0.186730104,0.999925768,-4.812512528
2052,8036881,,-0.104739246,2.204049212,-1.344631212,0.186779026,0.999925768,-4.812685356
2053,7894551,,0.11048917,3.059667873,1.34406416,0.186960656,0.999925768,-4.81332654
2054,8014142,,-0.154684059,2.144880261,-1.343885279,0.187017981,0.999925768,-4.813528756
2055,7896624,,-0.044154252,3.049615583,-1.343262521,0.187217658,0.999925768,-4.814232566
2056,7893346,,0.13125805,2.060884316,1.343202513,0.187236907,0.999925768,-4.814300369
2057,7895168,,0.230697515,1.837708704,1.342963905,0.187313462,0.999925768,-4.814569943
2058,8096821, GAR1 ,0.03917001,2.522293196,1.342883178,0.187339367,0.999925768,-4.814661137
2059,7896506,,0.121466774,2.003687595,1.342840361,0.187353109,0.999925768,-4.814709503
2060,8141664, VGF ,0.055664052,2.417447174,1.342588769,0.187433869,0.999925768,-4.814993678
2061,7925757, OR2T35 ,-0.059408686,2.490590744,-1.342369559,0.187504256,0.999925768,-4.815241237
2062,8038288, CGB1 ,0.122721991,1.978635473,1.342289245,0.187530049,0.999925768,-4.815331929
2063,7986975,,-0.06371401,2.180452155,-1.342115617,0.187585821,0.999925768,-4.815527974
2064,8146401, RN7SKP294 ,0.073433028,2.086353232,1.341978582,0.187629847,0.999925768,-4.815682687
2065,8002975, CDYL2 ,-0.051712287,2.360273298,-1.341959746,0.187635899,0.999925768,-4.815703951
2066,7995834, MT1IP ,-0.037409816,2.687885216,-1.341937367,0.18764309,0.999925768,-4.815729216
2067,8093997, SORCS2 ,0.039590646,2.287277527,1.341733047,0.187708751,0.999925768,-4.81595986
2068,7899343, GPR3 ,-0.03352415,2.708921638,-1.341672159,0.187728322,0.999925768,-4.816028587
2069,8160786, KIAA1161 ,-0.059421629,2.292548137,-1.341351341,0.187831466,0.999925768,-4.816390661
2070,8071691, BCR ,-0.039985765,2.607555726,-1.341209922,0.187876947,0.999925768,-4.816550241
2071,7919055, HMGCS2 ,0.03828236,2.285420641,1.340904045,0.187975346,0.999925768,-4.816895348
2072,7990941, CSPG4P5 ,-0.047831942,2.312057905,-1.340890385,0.187979741,0.999925768,-4.816910758
2073,8138450, FERD3L ,-0.032944424,2.586157107,-1.340584168,0.188078291,0.999925768,-4.817256174
2074,8098103, FNIP2 ,-0.051451811,2.1413472,-1.34034043,0.188156762,0.999925768,-4.817531063
2075,8149256, RN7SL178P ,0.07153494,2.339409799,1.340098752,0.188234594,0.999925768,-4.817803584
